Country,Country Code,Series,Series Code,2000 [2000],2001 [2001],2002 [2002],2003 [2003],2004 [2004],2005 [2005],2006 [2006],2007 [2007],2008 [2008],2009 [2009],2010 [2010],2011 [2011],2012 [2012],2013 [2013],2014 [2014],2015 [2015],2016 [2016],2017 [2017]
Italy,ITA,"CPI Price, seas. adj.,,,",CPTOTSAXN,81.28385698808,83.58613217768,85.64463705309,87.95594077284,89.8429035753,91.6395810762,93.58071505959,95.27807872878,98.47417840376,99.25063199711,100.74936800289,103.55724088119,106.71722643554,107.98122065728,108.24304803178,108.28819068256,108.20693391116,109.53412784399
Italy,ITA,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,1.08500649599,1.11686107983,1.06072678607,0.88504757129,0.8047055012,0.80459478294,0.79669233336,0.73050689653,0.68335173036,0.71926203913,0.7550221677,0.71904440154,0.77784497035,0.75301920665,0.75369614286,0.9007476221,0.90433493697,0.88690836099
Italy,ITA,"Exchange rate, old LCU per USD extended forward, period average,,",DPANUSSPF,2100.96854674854,2162.75507925529,2054.04573021363,1713.80786634983,1558.22967776366,1558.03547971956,1542.68006892685,1414.50419502478,1323.12176730818,1392.67956095113,1461.91884133258,1392.40505421451,1506.19674879227,1458.08672873926,1459.4396070958,1744.12142359436,1751.14209039613,1717.36053202276
Italy,ITA,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,1662903,1692165,1696381,1700329,1720775,1738340,1771236,1794785,1777491,1682757,1710862,1725632,1673570,1642397,1643685,1654312,1677764,1706977
Italy,ITA,"GDP,constant 2010 US$,millions,seas. adj.,",NYGDPMKTPSAKD,2153739.66595064,2191638.88803698,2197099.31864036,2202212.64407256,2228693.66022926,2251443.29579575,2294049.16038984,2324549.08455467,2302150.43966501,2179453.94232622,2215854.65440116,2234984.29387266,2167555.22886483,2127180.93968099,2128849.11677234,2142612.87294457,2172987.16576013,2210822.92458756
Italy,ITA,"GDP,current US$,millions,seas. adj.,",NYGDPMKTPSACD,1147654.00540086,1167665.72859101,1276722.18792336,1579337.4222062,1803423.30210931,1858658.16021161,1953711.12743138,2214164.03211674,2408342.08620509,2196468.84628117,2134194.98166229,2295638.52043075,2089110.0347078,2141957.26928641,2163733.7509671,1836696.19822974,1876791.62813031,1964957.54460488
Italy,ITA,"GDP,current LCU,millions,seas. adj.,",NYGDPMKTPSACN,1243447,1303711,1349760,1395474,1449996,1494240,1554837,1614567,1637398,1576117,1609489,1649481,1624470,1612511,1628515,1654312,1696796,1738847
Italy,ITA,"Nominal Effecive Exchange Rate,,,,",NEER,89.37895707047,90.9941097271,93.26129649712,98.76620990455,100.62537859579,99.46460384427,99.46354533772,101.07600893562,102.79228197502,104.22544067564,100,100.47656375748,97.94654428606,100.52833327522,101.77332643061,97.22114834304,99.29120472952,100.87660218624
Italy,ITA,"Official exchange rate, LCU per USD, period average,,",DPANUSLCU,2100.96854674854,2162.75507925529,2054.04573021363,1713.80786634983,1558.22967776366,1558.03547971956,1542.68006892685,1414.50419502478,1323.12176730818,1392.67956095113,1461.91884133258,1392.40505421451,1506.19674879227,1458.08672873926,1459.4396070958,1744.12142359436,1751.14209039613,1717.36053202276
Italy,ITA,"Real Effective Exchange Rate,,,,",REER,93.16740572501,94.43843825705,96.73679723236,102.86186639841,104.63229572,102.82867802376,102.44124355379,103.08071399365,103.93327559332,105.06636381567,100,99.86707735465,97.75808574211,99.47909386557,99.3324066062,93.8790560356,94.59183080741,95.27228894501
United States,USA,"CPI Price, seas. adj.,,,",CPTOTSAXN,79.17295053827,81.40295863067,82.70188087006,84.60236886633,86.8591983619,89.78273130778,92.67561122146,95.33591125334,98.97293183992,98.65586453812,100.27043637657,103.41857941588,105.56264406925,107.11016239977,108.84048775105,108.97233410579,110.35340647147,112.70552858089
United States,USA,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
United States,USA,"Exchange rate, old LCU per USD extended forward, period average,,",DPANUSSPF,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
United States,USA,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,13138100,13263400,13488400,13865700,14399800,14901300,15315900,15624000,15643000,15236400,15649000,15891600,16254000,16553400,16932100,17390400,17680400,18076700
United States,USA,"GDP,constant 2010 US$,millions,seas. adj.,",NYGDPMKTPSAKD,12550557.6397516,12670254.1614907,12885192.0496894,13245619.0062112,13755833.7888199,14234906.4596273,14630965.3416149,14925286.9565217,14943437.2670808,14555020.621118,14949168.9440994,15180919.7515528,15527113.0434783,15813123.7267081,16174888.0745342,16612692.6708075,16889723.7267081,17268300.9937888
United States,USA,"GDP,current US$,millions,seas. adj.,",NYGDPMKTPSACD,10251000,10582000,10929200,11456500,12217200,13039300,13815700,14474200,14769900,14478000,15049100,15599800,16254000,16843300,17550700,18206000,18695100,19477400
United States,USA,"GDP,current LCU,millions,seas. adj.,",NYGDPMKTPSACN,10251000,10582000,10929200,11456500,12217200,13039300,13815700,14474200,14769900,14478000,15049100,15599800,16254000,16843300,17550700,18206000,18695100,19477400
United States,USA,"Nominal Effecive Exchange Rate,,,,",NEER,119.26384946704,125.41962078748,125.44386121403,117.42401020399,111.49344101191,108.80616378664,106.88548975788,101.96721110531,98.13991489793,103.8005820549,100,95.47317123915,98.36674889241,99.37167247741,101.65806344837,114.14286447453,119.2080249032,118.99951716108
United States,USA,"Official exchange rate, LCU per USD, period average,,",DPANUSLCU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
United States,USA,"Real Effective Exchange Rate,,,,",REER,119.54658175142,126.35963432308,126.39761145765,119.02397159033,113.81579807551,111.90624836028,110.92476285868,105.66606737959,100.77562251221,104.69644758098,100.01850084336,94.86723433317,96.86763972434,96.95371866853,98.93643861524,109.3177854106,113.53123861793,113.12843744086
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Data from database: Global Economic Monitor (GEM),,,,,,,,,,,,,,,,,,,,,
Last Updated: 07/27/2020,,,,,,,,,,,,,,,,,,,,,
