Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
DEC alternative conversion factor (LCU per US$),PA.NUS.ATLS,Italy,ITA,1.082705081,1.116533086,1.057558996,0.884047927,0.803921648,0.803800192,0.796432731,0.7296724,0.67992268,0.716957702,0.75430899,0.718413899,0.77833812,0.752945123,0.752728197,0.901296423,0.903421436,0.885205508
DEC alternative conversion factor (LCU per US$),PA.NUS.ATLS,United States,USA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Italy,ITA,1.082705081,1.116533086,1.057558996,0.884047927,0.803921648,0.803800192,0.796432731,0.7296724,0.67992268,0.716957702,0.75430899,0.718413899,0.77833812,0.752945123,0.752728197,0.901296423,0.903421436,0.885205508
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,United States,USA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Italy,ITA,0.805206,0.81636,0.823489,0.833422,0.851859,0.855139,0.822895,0.809278,0.783694,0.771315,0.773168,0.758687,0.747731,0.737299,0.739644,0.738694,0.700544,0.689895
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,United States,USA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,Italy,ITA,0.743698366,0.731156121,0.778669562,0.942733956,1.059629384,1.063870111,1.033225994,1.109097727,1.152622236,1.075816604,1.025001704,1.056058355,0.960676318,0.979220102,0.982617634,0.819590515,0.775434334,0.779361395
Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,United States,USA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Real effective exchange rate index (2010 = 100),PX.REX.REER,Italy,ITA,93.19065976,94.4612718,96.75959536,102.8860108,104.635004,102.8318218,102.4438317,103.0797941,103.9324866,105.0653734,100,99.86652763,97.75438696,99.50565729,99.3432302,93.82602403,94.65059834,95.42689029
Real effective exchange rate index (2010 = 100),PX.REX.REER,United States,USA,119.4617632,126.22492,125.9177054,117.9945026,112.4009193,110.8407055,109.9259993,104.8919848,100.4414961,104.6974617,100,95.00847353,97.36955178,97.5561126,99.19565054,109.905572,114.5678351,114.3384166
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Italy,ITA,2.537685321,2.785165427,2.465323192,2.672555528,2.206736614,1.985292985,2.09084391,1.829741122,3.347832584,0.774768131,1.525516021,2.780632729,3.041363332,1.219993423,0.24104743,0.0387904,-0.094016657,1.226533166
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,United States,USA,3.376857271,2.826171119,1.586031627,2.270094973,2.677236693,3.392746845,3.225944101,2.852672482,3.839100297,-0.355546266,1.640043442,3.156841569,2.069337265,1.464832656,1.622222977,0.118627136,1.261583206,2.130110004
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Italy,ITA,1.792397966,3.033592026,3.27434188,3.147807929,2.670183681,2.010557901,2.124853915,2.478994766,2.400703444,1.67883896,0.436360538,1.607176983,1.54730144,1.147610159,0.913241262,0.931863575,1.13435002,0.726343221
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,United States,USA,2.26554767,2.252952359,1.558531389,1.973599317,2.684408042,3.135824067,3.085582932,2.702526569,1.917932978,0.640954733,1.201791625,2.07771382,1.870595529,1.750949779,1.869891372,1.000541633,1.00223548,1.89961014
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,
Last Updated: 05/10/2023,,,,,,,,,,,,,,,,,,,,,