TL,Territory level and Typology,REG_ID,Region,VAR,Indicator,POS,Position,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,NewValue,Flag Codes,Flags
2,Large regions (TL2),ITC1,Piedmont,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2000,2000,,,0,Units,,,2876.91,3107.0628,,
2,Large regions (TL2),ITC1,Piedmont,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2001,2001,,,0,Units,,,3039.03,3282.1524,,
2,Large regions (TL2),ITC1,Piedmont,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2002,2002,,,0,Units,,,2919.49,3153.0492,,
2,Large regions (TL2),ITC1,Piedmont,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2003,2003,,,0,Units,,,2761.4,2982.312,,
2,Large regions (TL2),ITC1,Piedmont,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2004,2004,,,0,Units,,,2910.77,3143.6316,,
2,Large regions (TL2),ITC1,Piedmont,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2005,2005,,,0,Units,,,3010,3250.8,,
2,Large regions (TL2),ITC1,Piedmont,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2006,2006,,,0,Units,,,3149.54,3401.5032,,
2,Large regions (TL2),ITC1,Piedmont,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2007,2007,,,0,Units,,,3284.11,3546.8388,,
2,Large regions (TL2),ITC1,Piedmont,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2008,2008,,,0,Units,,,3282.85,3545.478,,
2,Large regions (TL2),ITC1,Piedmont,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2009,2009,,,0,Units,,,3070.84,3316.5072,,
2,Large regions (TL2),ITC1,Piedmont,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2010,2010,,,0,Units,,,3102.21,3350.3868,,
2,Large regions (TL2),ITC1,Piedmont,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2011,2011,,,0,Units,,,3208.86,3465.5688,,
2,Large regions (TL2),ITC2,Aosta Valley,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2000,2000,,,0,Units,,,37.65,40.662,,
2,Large regions (TL2),ITC2,Aosta Valley,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2001,2001,,,0,Units,,,40.19,43.4052,,
2,Large regions (TL2),ITC2,Aosta Valley,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2002,2002,,,0,Units,,,22.56,24.3648,,
2,Large regions (TL2),ITC2,Aosta Valley,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2003,2003,,,0,Units,,,20.5,22.14,,
2,Large regions (TL2),ITC2,Aosta Valley,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2004,2004,,,0,Units,,,19.97,21.5676,,
2,Large regions (TL2),ITC2,Aosta Valley,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2005,2005,,,0,Units,,,18.07,19.5156,,
2,Large regions (TL2),ITC2,Aosta Valley,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2006,2006,,,0,Units,,,17.67,19.0836,,
2,Large regions (TL2),ITC2,Aosta Valley,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2007,2007,,,0,Units,,,27.34,29.5272,,
2,Large regions (TL2),ITC2,Aosta Valley,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2008,2008,,,0,Units,,,36.67,39.6036,,
2,Large regions (TL2),ITC2,Aosta Valley,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2009,2009,,,0,Units,,,39.38,42.5304,,
2,Large regions (TL2),ITC2,Aosta Valley,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2010,2010,,,0,Units,,,35.22,38.0376,,
2,Large regions (TL2),ITC2,Aosta Valley,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2011,2011,,,0,Units,,,34.8,37.584,,
2,Large regions (TL2),ITC3,Liguria,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2000,2000,,,0,Units,,,662.07,715.0356,,
2,Large regions (TL2),ITC3,Liguria,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2001,2001,,,0,Units,,,556.28,600.7824,,
2,Large regions (TL2),ITC3,Liguria,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2002,2002,,,0,Units,,,798.21,862.0668,,
2,Large regions (TL2),ITC3,Liguria,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2003,2003,,,0,Units,,,701.78,757.9224,,
2,Large regions (TL2),ITC3,Liguria,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2004,2004,,,0,Units,,,748.05,807.894,,
2,Large regions (TL2),ITC3,Liguria,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2005,2005,,,0,Units,,,737.82,796.8456,,
2,Large regions (TL2),ITC3,Liguria,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2006,2006,,,0,Units,,,778.06,840.3048,,
2,Large regions (TL2),ITC3,Liguria,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2007,2007,,,0,Units,,,731.03,789.5124,,
2,Large regions (TL2),ITC3,Liguria,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2008,2008,,,0,Units,,,755.76,816.2208,,
2,Large regions (TL2),ITC3,Liguria,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2009,2009,,,0,Units,,,815.97,881.2476,,
2,Large regions (TL2),ITC3,Liguria,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2010,2010,,,0,Units,,,879.84,950.2272,,
2,Large regions (TL2),ITC3,Liguria,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2011,2011,,,0,Units,,,862.67,931.6836,,
2,Large regions (TL2),ITC4,Lombardy,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2000,2000,,,0,Units,,,4833.62,5220.3096,,
2,Large regions (TL2),ITC4,Lombardy,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2001,2001,,,0,Units,,,5058.69,5463.3852,,
2,Large regions (TL2),ITC4,Lombardy,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2002,2002,,,0,Units,,,5271.05,5692.734,,
2,Large regions (TL2),ITC4,Lombardy,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2003,2003,,,0,Units,,,5145.89,5557.5612,,
2,Large regions (TL2),ITC4,Lombardy,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2004,2004,,,0,Units,,,4970.59,5368.2372,,
2,Large regions (TL2),ITC4,Lombardy,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2005,2005,,,0,Units,,,5036.75,5439.69,,
2,Large regions (TL2),ITC4,Lombardy,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2006,2006,,,0,Units,,,5341.9,5769.252,,
2,Large regions (TL2),ITC4,Lombardy,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2007,2007,,,0,Units,,,5640.51,6091.7508,,
2,Large regions (TL2),ITC4,Lombardy,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2008,2008,,,0,Units,,,5552.95,5997.186,,
2,Large regions (TL2),ITC4,Lombardy,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2009,2009,,,0,Units,,,5570.02,6015.6216,,
2,Large regions (TL2),ITC4,Lombardy,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2010,2010,,,0,Units,,,6047.58,6531.3864,,
2,Large regions (TL2),ITC4,Lombardy,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2011,2011,,,0,Units,,,6046.84,6530.5872,,
2,Large regions (TL2),ITF1,Abruzzo,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2000,2000,,,0,Units,,,354.87,383.2596,,
2,Large regions (TL2),ITF1,Abruzzo,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2001,2001,,,0,Units,,,349.47,377.4276,,
2,Large regions (TL2),ITF1,Abruzzo,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2002,2002,,,0,Units,,,408.69,441.3852,,
2,Large regions (TL2),ITF1,Abruzzo,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2003,2003,,,0,Units,,,417.92,451.3536,,
2,Large regions (TL2),ITF1,Abruzzo,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2004,2004,,,0,Units,,,405.51,437.9508,,
2,Large regions (TL2),ITF1,Abruzzo,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2005,2005,,,0,Units,,,402.04,434.2032,,
2,Large regions (TL2),ITF1,Abruzzo,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2006,2006,,,0,Units,,,420.04,453.6432,,
2,Large regions (TL2),ITF1,Abruzzo,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2007,2007,,,0,Units,,,416.23,449.5284,,
2,Large regions (TL2),ITF1,Abruzzo,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2008,2008,,,0,Units,,,370.65,400.302,,
2,Large regions (TL2),ITF1,Abruzzo,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2009,2009,,,0,Units,,,369.36,398.9088,,
2,Large regions (TL2),ITF1,Abruzzo,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2010,2010,,,0,Units,,,365.14,394.3512,,
2,Large regions (TL2),ITF1,Abruzzo,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2011,2011,,,0,Units,,,350.57,378.6156,,
2,Large regions (TL2),ITF2,Molise,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2000,2000,,,0,Units,,,35.74,38.5992,,
2,Large regions (TL2),ITF2,Molise,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2001,2001,,,0,Units,,,31.86,34.4088,,
2,Large regions (TL2),ITF2,Molise,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2002,2002,,,0,Units,,,33.88,36.5904,,
2,Large regions (TL2),ITF2,Molise,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2003,2003,,,0,Units,,,34.69,37.4652,,
2,Large regions (TL2),ITF2,Molise,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2004,2004,,,0,Units,,,36.86,39.8088,,
2,Large regions (TL2),ITF2,Molise,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2005,2005,,,0,Units,,,40.66,43.9128,,
2,Large regions (TL2),ITF2,Molise,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2006,2006,,,0,Units,,,46.92,50.6736,,
2,Large regions (TL2),ITF2,Molise,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2007,2007,,,0,Units,,,41.15,44.442,,
2,Large regions (TL2),ITF2,Molise,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2008,2008,,,0,Units,,,37.8,40.824,,
2,Large regions (TL2),ITF2,Molise,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2009,2009,,,0,Units,,,45.6,49.248,,
2,Large regions (TL2),ITF2,Molise,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2010,2010,,,0,Units,,,44.85,48.438,,
2,Large regions (TL2),ITF2,Molise,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2011,2011,,,0,Units,,,38.86,41.9688,,
2,Large regions (TL2),ITF3,Campania,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2000,2000,,,0,Units,,,1297.49,1401.2892,,
2,Large regions (TL2),ITF3,Campania,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2001,2001,,,0,Units,,,1264.88,1366.0704,,
2,Large regions (TL2),ITF3,Campania,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2002,2002,,,0,Units,,,1311.19,1416.0852,,
2,Large regions (TL2),ITF3,Campania,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2003,2003,,,0,Units,,,1446.15,1561.842,,
2,Large regions (TL2),ITF3,Campania,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2004,2004,,,0,Units,,,1579.04,1705.3632,,
2,Large regions (TL2),ITF3,Campania,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2005,2005,,,0,Units,,,1534.36,1657.1088,,
2,Large regions (TL2),ITF3,Campania,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2006,2006,,,0,Units,,,1708.49,1845.1692,,
2,Large regions (TL2),ITF3,Campania,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2007,2007,,,0,Units,,,1750.83,1890.8964,,
2,Large regions (TL2),ITF3,Campania,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2008,2008,,,0,Units,,,1823.45,1969.326,,
2,Large regions (TL2),ITF3,Campania,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2009,2009,,,0,Units,,,1690.53,1825.7724,,
2,Large regions (TL2),ITF3,Campania,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2010,2010,,,0,Units,,,1586.6,1713.528,,
2,Large regions (TL2),ITF3,Campania,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2011,2011,,,0,Units,,,1554.33,1678.6764,,
2,Large regions (TL2),ITF4,Apulia,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2000,2000,,,0,Units,,,577.03,623.1924,,
2,Large regions (TL2),ITF4,Apulia,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2001,2001,,,0,Units,,,535.01,577.8108,,
2,Large regions (TL2),ITF4,Apulia,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2002,2002,,,0,Units,,,601.91,650.0628,,
2,Large regions (TL2),ITF4,Apulia,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2003,2003,,,0,Units,,,575.62,621.6696,,
2,Large regions (TL2),ITF4,Apulia,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2004,2004,,,0,Units,,,619.02,668.5416,,
2,Large regions (TL2),ITF4,Apulia,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2005,2005,,,0,Units,,,641.45,692.766,,
2,Large regions (TL2),ITF4,Apulia,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2006,2006,,,0,Units,,,718.75,776.25,,
2,Large regions (TL2),ITF4,Apulia,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2007,2007,,,0,Units,,,781.68,844.2144,,
2,Large regions (TL2),ITF4,Apulia,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2008,2008,,,0,Units,,,748.6,808.488,,
2,Large regions (TL2),ITF4,Apulia,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2009,2009,,,0,Units,,,742.46,801.8568,,
2,Large regions (TL2),ITF4,Apulia,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2010,2010,,,0,Units,,,732.76,791.3808,,
2,Large regions (TL2),ITF4,Apulia,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2011,2011,,,0,Units,,,672.7,726.516,,
2,Large regions (TL2),ITF5,Basilicata,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2000,2000,,,0,Units,,,122.29,132.0732,,
2,Large regions (TL2),ITF5,Basilicata,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2001,2001,,,0,Units,,,122.43,132.2244,,
2,Large regions (TL2),ITF5,Basilicata,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2002,2002,,,0,Units,,,74.1,80.028,,
